2012	 Q1 	23410	3065	869791
2012	 Q2 	23938		889163
2012	 Q3 	25101	4311	905089
2012	 Q4 	27146	6121	945239
2013	 Q1 		7142	1023961
2013	 Q2 	29807	7747	1069372
2013	 Q3 	31092	9188	1105999
2013	 Q4 	33420		1175230
2014	 Q1 	35674	12683	1270089
2014	 Q2 	36244	13801	1340407
2014	 Q3 		15843	1409432
2014	 Q4 	39114	18277	1484728
2015	 Q1 	41397	20877	1573129
2015	 Q2 		23251	
2015	 Q3 	43181	25987	1738355
2015	 Q4 	44738	30024	1823333
2016	 Q1 	46967	34533	1957736
2016	 Q2 			2105204
2016	 Q3 	47497	39246	2290188
2016	 Q4 	49431	44365	2477541
2017	 Q1 	50854	47894	2636635
2017	 Q2 	51921	52031	2785464
2017	 Q3 		56476	2984859
2017	 Q4 	
