Year,Quarter,Revenue,Cumulative Revenue,Marketing,Cumulative Marketing
2012,Q1,869791,869791,122288,122288
2012,Q2,889163,1758954,108441,230729
2012,Q3,905089,2664043,102913,333642
2012,Q4,945239,3609282,105566,439208
2013,Q1,1023961,1023961,119086,119086
2013,Q2,1069372,2093333,114611,233697
2013,Q3,1105999,3199332,108228,341925
2013,Q4,1175230,4374562,128017,469942
2014,Q1,1270089,1270089,137098,137098
2014,Q2,1340407,2610496,120763,257861
2014,Q3,1409432,4019928,145654,403515
2014,Q4,1484728,5504656,203671,607186
2015,Q1,1573129,1573129,194677,194677
2015,Q2,1644694,3217823,197140,391817
2015,Q3,1738355,4956178,208102,599919
2015,Q4,1823333,6779511,224173,824092
2016,Q1,1957736,1957736,208010,208010
2016,Q2,2105204,4062940,216029,424039
2016,Q3,2290188,6353128,282043,706082
2016,Q4,2477541,8830669,284996,991078
2017,Q1,2636635,2636635,271270,271270
2017,Q2,2785464,5422099,274323,545593
2017,Q3,2984859,8406958,312490,858083
2017,Q4,3285755,11692713,419939,1278022
