movie.id,rating.avg,rating.stdev,rating.med,rating.Q1,rating.Q3,Release.year,Release.period
1,3.749542962,1.067919982,4,3,5,2003,2000-2010
2,3.55862069,1.27951739,4,3,5,2004,2000-2010
3,3.641153082,0.977344692,4,3,4,1997,1980-2000
4,2.73943662,1.302913143,3,2,4,1994,1980-2000
5,3.919298246,1.292436102,4,3,5,2004,2000-2010
6,3.084396467,1.290261964,3,2,4,1997,1980-2000
7,2.129032258,1.075677809,2,1,3,1992,1980-2000
8,3.1898055,1.314536649,3,2,4,2004,2000-2010
9,2.621052632,1.247797612,3,2,3,1991,1980-2000
10,3.180722892,1.133911781,3,3,4,2001,2000-2010
11,3.03030303,1.103336384,3,2,4,1999,1980-2000
12,3.417582418,1.058639605,3,3,4,1947,1940-1960
13,4.552,0.665461276,5,4,5,2003,2000-2010
14,3.025423729,1.18726767,3,2,4,1982,1980-2000
15,3.286206897,1.1635241,3,3,4,1988,1980-2000
16,3.09855502,0.986901683,3,3,4,1996,1980-2000
17,2.903207653,1.01233471,3,2,4,2005,2000-2010
18,3.784368588,0.946348274,4,3,4,1994,1980-2000
19,3.324675325,1.071931358,3,3,4,2000,2000-2010
20,3.146551724,1.231854808,3,2.75,4,1972,1960-1980
21,3.463302752,1.002775921,3.5,3,4,2002,2000-2010
22,2.246305419,1.089292461,2,1,3,2000,2000-2010
23,3.556097561,1.142754141,4,3,4,2001,2000-2010
24,2.9939985,1.061881153,3,2,4,1981,1980-2000
25,3.970173985,1.026565166,4,4,5,1997,1980-2000
26,2.793721208,1.088695319,3,2,3,2004,2000-2010
27,3.527472527,1.224810844,4,3,4,1962,1960-1980
28,3.823254176,0.972259749,4,3,5,2002,2000-2010
29,3.598470363,1.103528628,4,3,4,2001,2000-2010
30,3.761842027,0.938740765,4,3,4,2003,2000-2010
31,3.054298643,1.302704209,3,2,4,1999,1980-2000
32,4.071736785,1.16650941,4,4,5,2004,2000-2010
33,4.168650218,1.152857089,5,4,5,2000,2000-2010
34,2.712962963,1.268238354,3,2,4,2003,2000-2010
35,3.145411204,1.12800108,3,2,4,2000,2000-2010
36,3.020234292,1.106587923,3,2,4,1992,1980-2000
